date_heure,consommation_brute_electricite_rte
2013-04-25 00:00:00+00:00,5608.3125
2013-04-26 00:00:00+00:00,5811.895833333333
2013-04-27 00:00:00+00:00,5501.229166666667
2013-04-28 00:00:00+00:00,5232.541666666667
2013-04-29 00:00:00+00:00,6000.645833333333
2013-04-30 00:00:00+00:00,5995.229166666667
2013-05-01 00:00:00+00:00,4955.916666666667
2013-05-02 00:00:00+00:00,5733.5
2013-05-03 00:00:00+00:00,5749.604166666667
2013-05-04 00:00:00+00:00,5150.520833333333
2013-05-05 00:00:00+00:00,4709.375
2013-05-06 00:00:00+00:00,5407.1875
2013-05-07 00:00:00+00:00,5429.333333333333
2013-05-08 00:00:00+00:00,4808.875
2013-05-09 00:00:00+00:00,4673.083333333333
2013-05-10 00:00:00+00:00,5049.1875
2013-05-11 00:00:00+00:00,4969.583333333333
2013-05-12 00:00:00+00:00,4796.291666666667
2013-05-13 00:00:00+00:00,5721.166666666667
2013-05-14 00:00:00+00:00,5939.395833333333
2013-05-15 00:00:00+00:00,5805.4375
2013-05-16 00:00:00+00:00,5948.270833333333
2013-05-17 00:00:00+00:00,6012.125
2013-05-18 00:00:00+00:00,5271.0
2013-05-19 00:00:00+00:00,4913.520833333333
2013-05-20 00:00:00+00:00,5261.020833333333
2013-05-21 00:00:00+00:00,6094.791666666667
2013-05-22 00:00:00+00:00,6094.833333333333
2013-05-23 00:00:00+00:00,6197.791666666667
2013-05-24 00:00:00+00:00,6461.520833333333
2013-05-25 00:00:00+00:00,5550.395833333333
2013-05-26 00:00:00+00:00,5041.5625
2013-05-27 00:00:00+00:00,5607.208333333333
2013-05-28 00:00:00+00:00,5824.520833333333
2013-05-29 00:00:00+00:00,5985.3125
2013-05-30 00:00:00+00:00,6039.916666666667
2013-05-31 00:00:00+00:00,5864.708333333333
2013-06-01 00:00:00+00:00,5090.395833333333
2013-06-02 00:00:00+00:00,4585.104166666667
2013-06-03 00:00:00+00:00,5450.5625
2013-06-04 00:00:00+00:00,5551.229166666667
2013-06-05 00:00:00+00:00,5456.4375
2013-06-06 00:00:00+00:00,5406.3125
2013-06-07 00:00:00+00:00,5337.729166666667
2013-06-08 00:00:00+00:00,4734.458333333333
2013-06-09 00:00:00+00:00,4411.5
2013-06-10 00:00:00+00:00,5187.9375
2013-06-11 00:00:00+00:00,5330.020833333333
2013-06-12 00:00:00+00:00,5346.395833333333
2013-06-13 00:00:00+00:00,5341.958333333333
2013-06-14 00:00:00+00:00,5329.875
2013-06-15 00:00:00+00:00,4812.208333333333
2013-06-16 00:00:00+00:00,4379.125
2013-06-17 00:00:00+00:00,5181.270833333333
2013-06-18 00:00:00+00:00,5284.166666666667
2013-06-19 00:00:00+00:00,5357.666666666667
2013-06-20 00:00:00+00:00,5336.666666666667
2013-06-21 00:00:00+00:00,5336.354166666667
2013-06-22 00:00:00+00:00,4819.6875
2013-06-23 00:00:00+00:00,4521.645833333333
2013-06-24 00:00:00+00:00,5267.375
2013-06-25 00:00:00+00:00,5341.229166666667
2013-06-26 00:00:00+00:00,5435.395833333333
2013-06-27 00:00:00+00:00,5435.354166666667
2013-06-28 00:00:00+00:00,5441.375
2013-06-29 00:00:00+00:00,4829.333333333333
2013-06-30 00:00:00+00:00,4479.541666666667
